year,y,c,x,g,h,k_data
1960.0,0.01937373457832192,0.01182965772766916,0.004374987342661532,0.0031690895079912297,0.3519740071670512,0.039683683085752514
1961.0,0.019544049517940455,0.011870682093560788,0.00439685406508723,0.003276513359292437,0.35050027341021445,0.03989546880415955
1962.0,0.02042545754752383,0.012262167319716117,0.004720581154086275,0.0034427090737214373,0.3517098715943434,0.040260461960595406
1963.0,0.02101088553280984,0.012592193355599666,0.004869040760338435,0.0035496514168717403,0.35195305768615326,0.04050006810477062
1964.0,0.02191515407344871,0.0131476836447541,0.0050762241140646725,0.0036912463146299397,0.35128205128205126,0.042069917348147634
1965.0,0.023049335316490224,0.013755064689294364,0.00551192515766709,0.0037823454695287695,0.35210972233873,0.04356199515931087
1966.0,0.02428739824989825,0.014329706497174768,0.005904686224860438,0.004053005527863044,0.35045223017909233,0.04544722822941531
1967.0,0.0246832803252949,0.014543307171181472,0.005751162782759427,0.004388810371354001,0.3471133198605959,0.046973115502059036
1968.0,0.02563906410371389,0.015177960927359123,0.005892058636237806,0.004569044540116963,0.3448141701343938,0.049191489749104964
1969.0,0.026182517009823512,0.015531206188286193,0.005997704608448126,0.004653606213089194,0.3444535427002553,0.0505040598075889
1970.0,0.02592703801962429,0.015622464240017498,0.005552206649585946,0.004752367130020847,0.3395780081986979,0.05123482907950556
1971.0,0.026444276970639648,0.01588988100613693,0.005796537383993075,0.004757858580509643,0.33852912680501485,0.05341053811124618
1972.0,0.027537675801349238,0.01653739575160371,0.006218178608078666,0.004782101441666862,0.3397365967080246,0.055844208867432216
1973.0,0.02881600592707247,0.017175368629395046,0.0067232953460299475,0.004917341951647476,0.33927065634067816,0.05957939935255736
1974.0,0.028399576346479372,0.017095161300855335,0.006445267332128049,0.004859147713495988,0.33441541997904833,0.06374658157800427
1975.0,0.02806311437077783,0.017164395315971696,0.005690491211049692,0.005208227843756441,0.33119281240841847,0.06306026156990284
1976.0,0.029295466324214002,0.01794661860522159,0.0064562515780182015,0.004892596140974211,0.3315515575246473,0.06519214378303358
1977.0,0.030343417832445662,0.01856867756147246,0.0071386743235524516,0.0046360659474207495,0.3313134372290984,0.06902624487428663
1978.0,0.03168547296538401,0.019163440406278168,0.00786806841867946,0.004653964140426381,0.33061615890255747,0.07293028580010211
1979.0,0.03232987047610584,0.019508917693428173,0.008118395740556015,0.004702557042121651,0.3288931041004661,0.07708568435764121
1980.0,0.03193889756848938,0.019568906662649342,0.0074450435217154045,0.004924947384124635,0.3257579312016641,0.0795632507762538
1981.0,0.0324295756234039,0.019556098661182568,0.007872884151945033,0.005000592810276299,0.3251487489582728,0.07948463208815353
1982.0,0.03154272567166241,0.019538631116911023,0.006961505664082396,0.005042588890668988,0.32368286869597185,0.07826942119069714
1983.0,0.03268831268820148,0.020523125424380246,0.0072741259396077165,0.004891061324213517,0.32576049423592796,0.07735346552349667
1984.0,0.0347515954627372,0.02145148419018822,0.008721197063145636,0.0045789142094033435,0.3269838898340333,0.07843073998451938
1985.0,0.03588122257527614,0.022433770027208325,0.008679072170149207,0.004768380377918605,0.3253296561991924,0.07954468915253365
1986.0,0.03678216238501164,0.023181681249927477,0.008732315061266586,0.004868166073817577,0.3231279541713421,0.08217026926934595
1987.0,0.03771423795549943,0.023895855945309494,0.008908190136267945,0.004910191873921988,0.3237747774393363,0.08422963381804753
1988.0,0.03893442099967689,0.024759595958545873,0.008887874777445615,0.0052869502636853985,0.3231765664870995,0.08577470120561677
1989.0,0.039984778319335224,0.025350323088905734,0.009002092751649454,0.005632362478780035,0.3245476396141758,0.08648946725726156
1990.0,0.04028126014029156,0.025729896542295426,0.008672238475339322,0.005879125122656814,0.3229823509140222,0.0862858539780093
1991.0,0.03970352714235456,0.02542474092471771,0.00798461952381903,0.006294166693817821,0.32008722720689825,0.08419476867224254
1992.0,0.04053597854308147,0.026095648509241717,0.00813864433091055,0.006301685702929202,0.32057251867889286,0.08460677203638214
1993.0,0.04110580219222142,0.026682335701556946,0.008382964333831617,0.006040502156832861,0.3216449335841533,0.08583569830834192
1994.0,0.0422407781823157,0.0273652775032229,0.008988456064087028,0.005887044615005768,0.32280579221906197,0.08812488083965095
1995.0,0.04286126529416625,0.027841606646524183,0.009117726583291836,0.00590193206435023,0.3237425003183385,0.08949272349311622
1996.0,0.04396385591364321,0.028560532451915078,0.009540954670904973,0.005862368790823162,0.32213657569345794,0.0913111676237104
1997.0,0.04536945319577344,0.02928587722462381,0.010167165384737008,0.005916410586412624,0.32461327444026405,0.09363925441221413
1998.0,0.04685404598084494,0.030384906595027676,0.010756909420002257,0.005712229965815004,0.32500662157176524,0.09706710840401818
1999.0,0.04853703411697248,0.03166748308812248,0.011366952674201411,0.005502598354648591,0.3247745555523747,0.10092709204509004
2000.0,0.049957161019580316,0.032979283382784594,0.01182903975572849,0.005148837881067233,0.3231693576776213,0.10437904429931327
2001.0,0.04993781164688624,0.03338239577732524,0.011074569772395855,0.0054808460971651415,0.3199578382048135,0.10715507324448402
2002.0,0.0503179566749565,0.033834755301604805,0.010930398776946617,0.005552802596405075,0.31944114116154754,0.10975419298232165
2003.0,0.05128198958971591,0.034649565060258965,0.011151590691627744,0.005480833837829199,0.3186115995864064,0.11279810772962068
2004.0,0.05276460878791886,0.03555285099443412,0.011952315894939195,0.005259441898545542,0.3191680114757038,0.11979203085093892
2005.0,0.05410172238751299,0.036384263105295446,0.012646666389615398,0.005070792892602148,0.3193209108628982,0.12688062149959226
2006.0,0.05507457888116811,0.03698286680201715,0.012963195553237954,0.0051285165259130055,0.31980028218152806,0.1311495579189446
2007.0,0.055646442368768256,0.03747096434523364,0.012552488599703643,0.00562298942383097,0.3190967704348164,0.13092442814085253
2008.0,0.05518519561812022,0.03755050631707625,0.011609579108199392,0.006025110192844577,0.31790345821325644,0.1303372727827682
2009.0,0.0532940917082302,0.03640979691543749,0.009469695650256706,0.007414599142536001,0.3142947195457264,0.12512469415637947
2010.0,0.05426933292238435,0.037000353627692655,0.010133285727503221,0.007135693567188477,0.3169863562807132,0.12428609585205226
2011.0,0.054683297441948824,0.03750377119426643,0.010408166485294943,0.006771359762387453,0.31898479919880496,0.12423875831544245
2012.0,0.05549026212612514,0.03771515935321993,0.011070710089206928,0.0067043926836982785,0.3189246221971138,0.12479418034700289
2013.0,0.05623836104640031,0.03794014490613505,0.011460964221591237,0.00683725191867402,0.31873879364719393,0.12838155641507076
2014.0,0.05720056871950033,0.0385745098789702,0.011955601566993226,0.006670457273536899,0.31919160084201337,0.13103282286227727
2015.0,0.058417460129227425,0.03926670390758524,0.012510209826362126,0.006640546395280056,0.31883674790504035,0.13239291541048223
2016.0,0.05901487556749069,0.039940275719501775,0.012327001388617531,0.006747598459371382,0.31880525767304263,0.13618501390822588
2017.0,0.060047719072830685,0.04069282203152214,0.012703556751622552,0.006651340289685991,0.3191852752767166,0.1385615221183591
2018.0,0.06146751286262424,0.04146466387983779,0.013257972675105542,0.006744876307680904,0.31909623319178343,0.14170751961774364
2019.0,0.06273175570636914,0.042047037015917645,0.013592969327051256,0.0070917493634002435,0.31862719607770307,0.14452619348607798
2020.0,0.06117570263768024,0.04072989820624387,0.013114676154336157,0.0073311282771002136,0.3183473174705315,0.1485403406523139
2021.0,0.06483716519397666,0.04405167845630212,0.013879304374963252,0.006906182362711287,0.32071282851314054,0.16188938720950313
2022.0,0.06609217430373918,0.04487387234489108,0.014558001915265672,0.006660300043582422,0.3197435831829303,0.16821107336471344
